Base_Lvl,Sub_Lvl,pzzle_amt,Adv_ID_Start,Challenge_Adv_ID,challenge_level_id,challenge_sols
L19,2,18,4253,4270,5x6-0A-BXL,3
L19,3,17,4271,4287,5x6-0A-BYL,2
L19,4,14,4288,4301,5x6-0A-BZP,3
L19,5,16,4302,4317,5x6-0A-CAL,3
L19,6,15,4318,4332,5x6-0A-CBL,2
L19,7,8,4333,4340,5x6-0A-CCF,2
L19,8,23,4341,4363,5x6-0A-CEE,3
L19,9,16,4364,4379,5x6-0A-CEV,2
L19,10,26,4380,4405,5x6-0A-CGB,2
L19,11,15,4406,4420,5x6-0A-CGW,2
L19,12,18,4421,4438,5x6-0A-CHY,4
L19,13,16,4439,4454,5x6-0A-CIX,3
L19,14,15,4455,4469,5x6-0A-CJM,3
L19,15,46,4470,4515,5x6-0A-CMH,2
L20,1,18,4516,4533,5x6-0A-CNO,3
L20,2,18,4534,4551,5x6-0A-CPE,2
L20,3,23,4552,4574,5x6-0A-CRK,3
L20,4,21,4575,4595,5x6-0A-CSQ,3
L20,5,18,4596,4613,5x6-0A-CTV,2
L20,6,20,4614,4633,5x6-0A-CVY,2
L20,7,16,4634,4649,5x6-0A-CXH,3
L20,8,18,4650,4667,5x6-0A-CZG,3
L20,9,15,4668,4682,5x6-0A-CZV,2
L20,10,15,4683,4697,5x6-0A-DAK,2
L20,11,18,4698,4715,5x6-0A-DBD,2
L20,12,20,4716,4735,5x6-0A-DCB,3
L20,13,2,4736,4737,5x6-0A-DCD,3
L20,14,8,4738,4745,5x6-0A-DCP,4
L20,15,14,4746,4759,5x6-0A-DDH,2
L21,1,16,4760,4775,5x6-0A-DDZ,3
L21,2,9,4776,4784,5x6-0A-DEL,3
L21,3,20,4785,4804,5x6-0A-DFH,3
L21,4,17,4805,4821,5x6-0A-DFY,3
L21,5,15,4822,4836,5x6-0A-DGP,3
L21,6,18,4837,4854,5x6-0A-DHI,2
L21,7,20,4855,4874,5x6-0A-DIL,2
L21,8,16,4875,4890,5x6-0A-DJK,3
L21,9,17,4891,4907,5x6-0A-DKD,3
L21,10,18,4908,4925,5x6-0A-DLD,2
L21,11,17,4926,4942,5x6-0A-DLU,2
L21,12,21,4943,4963,5x6-0A-DMT,2
L21,13,14,4964,4977,5x6-0A-DNH,2
L21,14,15,4978,4992,5x6-0A-DNW,2
L21,15,31,4993,5023,5x6-0A-DPC,2
L22,1,15,5024,5038,5x6-0A-DPS,2
L22,2,25,5039,5063,5x6-0A-DQV,2
L22,3,18,5064,5081,5x6-0A-DRP,2
L22,4,17,5082,5098,5x6-0A-DSG,3
L22,5,19,5099,5117,5x6-0A-DTA,3
L22,6,15,5118,5132,5x6-0A-DTP,3
L22,7,15,5133,5147,5x6-0A-DUE,2
L22,8,24,5148,5171,5x6-0A-DVG,3
L22,9,9,5172,5180,5x6-0A-DVR,3
L22,10,5,5181,5185,5x6-0A-DVW,4
L22,11,28,5186,5213,5x6-0A-DXK,2
L22,12,16,5214,5229,5x6-0A-DYA,2
L22,13,16,5230,5245,5x6-0A-DYS,2
L22,14,15,5246,5260,5x6-0A-DZJ,2
L22,15,23,5261,5283,5x6-0A-EAK,2
L23,1,17,5284,5300,5x6-0A-EBC,3
L23,2,15,5301,5315,5x6-0B-AAG,3
L23,3,16,5316,5331,5x6-0B-AAX,2
L23,4,8,5332,5339,5x6-0B-ABH,4
L23,5,28,5340,5367,5x6-0B-ACH,1
L23,6,28,5368,5395,5x6-0B-ADJ,1
L23,7,28,5396,5423,5x6-0B-AEL,1
L23,8,28,5424,5451,5x6-0B-AFN,1
L23,9,28,5452,5479,5x6-0B-AGP,1
L23,10,28,5480,5507,5x6-0B-AHR,1
L23,11,28,5508,5535,5x6-0B-AIT,1
L23,12,28,5536,5563,5x6-0B-AJV,1
L23,13,28,5564,5591,5x6-0B-AKX,1
L23,14,28,5592,5619,5x6-0B-ALZ,1
L23,15,43,5620,5662,5x6-0B-AOC,2
L24,1,21,5663,5683,5x6-0B-AOY,2
L24,2,15,5684,5698,5x6-0B-APU,3
L24,3,15,5699,5713,5x6-0B-AQP,2
L24,4,19,5714,5732,5x6-0B-ARP,3
L24,5,15,5733,5747,5x6-0B-ASF,3
L24,6,16,5748,5763,5x6-0B-ATA,3
L24,7,16,5764,5779,5x6-0B-ATR,3
L24,8,16,5780,5795,5x6-0B-AUJ,3
L24,9,15,5796,5810,5x6-0B-AUY,3
L24,10,15,5811,5825,5x6-0B-AVR,3
L24,11,15,5826,5840,5x6-0B-AWH,3
L24,12,15,5841,5855,5x6-0B-AXH,3
L24,13,15,5856,5870,5x6-0B-AYA,2
L24,14,12,5871,5882,5x6-0B-AYW,2
L24,15,13,5883,5895,5x6-0B-AZK,2
L25,1,15,5896,5910,5x6-0B-BAA,2
L25,2,15,5911,5925,5x6-0B-BDA,2
L25,3,18,5926,5943,5x6-0B-BDV,3
L25,4,20,5944,5963,5x6-0B-BEQ,2
L25,5,15,5964,5978,5x6-0B-BFF,2
L25,6,16,5979,5994,5x6-0B-BFX,2
L25,7,15,5995,6009,5x6-0B-BGN,2
L25,8,17,6010,6026,5x6-0B-BHR,2
L25,9,20,6027,6046,5x6-0B-BJD,2
L25,10,24,6047,6070,5x6-0B-BKW,2
L25,11,19,6071,6089,5x6-0B-BLT,2
L25,12,16,6090,6105,5x6-0B-BML,2
L25,13,15,6106,6120,5x6-0B-BNA,2
L25,14,23,6121,6143,5x6-0B-BOT,2
L25,15,18,6144,6161,5x6-0B-BPW,2
L26,1,16,6162,6177,5x6-0B-BQR,2
L26,2,15,6178,6192,5x6-0B-BRK,2
L26,3,17,6193,6209,5x6-0B-BSD,2
L26,4,15,6210,6224,5x6-0B-BSS,2
L26,5,19,6225,6243,5x6-0B-BTX,2
L26,6,15,6244,6258,5x6-0B-BUV,2
L26,7,16,6259,6274,5x6-0B-BVM,2
L26,8,22,6275,6296,5x6-0B-BWP,2
L26,9,24,6297,6320,5x6-0B-BXT,2
L26,10,15,6321,6335,5x6-0B-BYL,2
L26,11,16,6336,6351,5x6-0B-BZN,2
L26,12,18,6352,6369,5x6-0B-CAV,2
L26,13,15,6370,6384,5x6-0B-CCC,2
L26,14,28,6385,6412,5x6-0B-CDL,2
L26,15,17,6413,6429,5x6-0B-CEI,2
L27,1,23,6430,6452,5x6-0B-CFL,2
L27,2,19,6453,6471,5x6-0B-CGE,2
L27,3,17,6472,6488,5x6-0B-CHP,2
L27,4,16,6489,6504,5x6-0B-CIS,2
L27,5,12,6505,6516,5x6-0B-CJJ,2
L27,6,17,6517,6533,5x6-0B-CKC,2
L27,7,17,6534,6550,5x6-0B-CKW,2
L27,8,21,6551,6571,5x6-0B-CLU,2
L27,9,22,6572,6593,5x6-0B-CNG,2
L27,10,18,6594,6611,5x6-0B-COE,2
L27,11,15,6612,6626,5x6-0B-COV,2
L27,12,16,6627,6642,5x6-0B-CPN,2
L27,13,18,6643,6660,5x6-0B-CQI,2
L27,14,16,6661,6676,5x6-0B-CQZ,2
L27,15,14,6677,6690,5x6-0B-CRP,2
L28,1,2,6691,6692,5x6-0B-CRR,4
L28,2,9,6693,6701,5x6-0B-CSC,4
L28,3,5,6702,6706,5x6-0B-CSL,4
L28,4,3,6707,6709,5x6-0B-CSQ,4
L28,5,2,6710,6711,5x6-0B-CST,4
L28,6,2,6712,6713,5x6-0B-CSX,4
L28,7,3,6714,6716,5x6-0B-CTB,4
L28,8,4,6717,6720,5x6-0B-CTJ,4
L28,9,26,6721,6746,5x6-0B-CUT,2
L28,10,12,6747,6758,5x6-0B-CVF,2
L28,11,20,6759,6778,5x6-0B-CWE,2
L28,12,15,6779,6793,5x6-0B-CWT,2
L28,13,4,6794,6797,5x6-0B-CWY,2
L28,14,7,6798,6804,5x6-0B-CXG,4
L28,15,27,6805,6831,5x6-0B-CYR,2
L29,1,21,6832,6852,5x6-0B-CZR,2
L29,2,24,6853,6876,5x6-0B-DAR,2
L29,3,19,6877,6895,5x6-0B-DBK,2
L29,4,21,6896,6916,5x6-0B-DCI,2
L29,5,18,6917,6934,5x6-0B-DDA,2
L29,6,15,6935,6949,5x6-0B-DDP,2
L29,7,19,6950,6968,5x6-0B-DEJ,2
L29,8,6,6969,6974,5x6-0B-DEP,4
L29,9,27,6975,7001,5x6-0B-DFT,2
L29,10,18,7002,7019,5x6-0B-DGL,2
L29,11,19,7020,7038,5x6-0B-DHF,2
L29,12,14,7039,7052,5x6-0B-DHX,2
L29,13,2,7053,7054,5x6-0B-DHZ,6
L29,14,1,7055,7055,5x6-0B-DIA,4
L29,15,1,7056,7056,5x6-0B-DIB,2
L30,1,6,7057,7062,5x6-0B-DIH,2
L30,2,2,7063,7064,5x6-0B-DIJ,6
L30,3,1,7065,7065,5x6-0B-DIK,2
L30,4,1,7066,7066,5x6-0B-DIL,2
L30,5,1,7067,7067,5x6-0B-DIM,4
L30,6,1,7068,7068,5x6-0B-DIN,4
L30,7,1,7069,7069,5x6-0B-DIO,4
L30,8,1,7070,7070,5x6-0B-DIP,6
L30,9,1,7071,7071,5x6-0B-DIQ,4
L30,10,1,7072,7072,5x6-0B-DIR,24
L30,11,1,7073,7073,5x6-0B-DIS,2
L30,12,1,7074,7074,5x6-0B-DIT,2
L30,13,1,7075,7075,5x6-0B-DIU,1
L30,14,1,7076,7076,5x6-0B-DIV,4
L30,15,1,7077,7077,5x6-0B-DIW,2
