week_start_sunday,schedule,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun_id,Mon_id,Tue_id,Wed_id,Thu_id,Fri_id,Sat_id
2026-11-08,mon-peak,14,113,40,32,27,23,20,5x6-0B-BUL,5x6-0B-BOH,5x6-0B-BUE,5x6-0A-BVM,5x6-0B-CAZ,5x6-0A-BYC,5x6-0B-BZM
2026-11-15,mon-peak,14,225,53,40,32,23,20,5x6-0B-BYR,5x6-0A-CVB,5x6-0B-ARB,5x6-0B-BZP,5x6-0A-BSO,5x6-0A-BTO,5x6-0B-CIU
2026-11-22,mon-peak,14,111,53,40,32,23,20,5x6-0B-CAB,5x6-0B-BID,5x6-0A-CYY,5x6-0B-CMT,5x6-0A-BSJ,5x6-0A-BSD,5x6-0B-CND
2026-11-29,mon-peak,14,106,79,53,39,32,23,5x6-0B-CAI,5x6-0B-CAP,5x6-0A-BBC,5x6-0A-CRE,5x6-0B-BCL,5x6-0A-BQU,5x6-0A-BOW
2026-12-06,mon-peak,14,210,78,53,39,32,23,5x6-0B-CDV,5x6-0A-CRB,5x6-0A-DIW,5x6-0A-BBA,5x6-0A-CXO,5x6-0A-BLT,5x6-0A-BNV
2026-12-13,mon-peak,14,104,78,52,39,32,27,5x6-0B-CHI,5x6-0B-CNH,5x6-0A-CUQ,5x6-0A-CMP,5x6-0A-CIK,5x6-0A-BLN,5x6-0B-AVN
2026-12-20,mon-peak,23,103,78,52,39,32,27,5x6-0A-BKK,5x6-0B-BPJ,5x6-0A-CLY,5x6-0A-BRT,5x6-0A-CGL,5x6-0A-BLH,5x6-0A-EBJ
2026-12-27,mon-peak,23,204,78,39,32,27,26,5x6-0A-BKE,5x6-0B-APM,5x6-0A-AVJ,5x6-0A-CDU,5x6-0A-AZY,5x6-0A-DMG,5x6-0B-BHE
2027-01-03,mon-peak,23,99,77,39,32,27,26,5x6-0A-BHC,5x6-0B-BNS,5x6-0A-CWR,5x6-0A-BZL,5x6-0A-AQP,5x6-0A-DLB,5x6-0B-BLX
2027-01-10,mon-peak,23,99,77,39,32,27,26,5x6-0A-AZN,5x6-0B-CAN,5x6-0A-AHN,5x6-0A-BYD,5x6-0A-AHL,5x6-0A-DIY,5x6-0B-BPU
2027-01-17,mon-peak,23,98,76,39,27,26,23,5x6-0A-AXC,5x6-0B-BJB,5x6-0A-BWZ,5x6-0A-BWX,5x6-0A-DEH,5x6-0B-BQZ,5x6-0A-ATR
2027-01-24,mon-peak,16,188,76,39,27,26,23,5x6-0B-BVO,5x6-0B-AQI,5x6-0A-AWZ,5x6-0A-BMG,5x6-0A-DEF,5x6-0B-CCO,5x6-0A-AFF
2027-01-31,mon-peak,16,93,76,39,27,26,22,5x6-0B-BXD,5x6-0B-CIT,5x6-0A-AHU,5x6-0A-ARJ,5x6-0A-DCM,5x6-0B-CDX,5x6-0A-CXJ
2027-02-07,mon-peak,16,92,39,38,27,26,22,5x6-0B-BXY,5x6-0B-BZJ,5x6-0A-ARG,5x6-0B-BJZ,5x6-0A-DBC,5x6-0B-CFF,5x6-0A-CWI
2027-02-14,mon-peak,16,91,39,38,27,26,22,5x6-0B-BYS,5x6-0B-BGY,5x6-0A-AJI,5x6-0B-BNW,5x6-0A-CYB,5x6-0B-CSG,5x6-0A-CVU
2027-02-21,mon-peak,16,90,38,38,27,26,22,5x6-0B-BZC,5x6-0B-CHB,5x6-0B-ANJ,5x6-0B-CHK,5x6-0A-CXY,5x6-0B-DAK,5x6-0A-CRU
2027-02-28,mon-peak,16,89,51,38,38,27,22,5x6-0B-CEH,5x6-0B-CCB,5x6-0B-BAQ,5x6-0A-DHP,5x6-0B-CXU,5x6-0A-CWH,5x6-0A-CPA
2027-03-07,mon-peak,16,176,75,51,38,27,22,5x6-0B-CGP,5x6-0A-CYF,5x6-0B-BCK,5x6-0A-DWF,5x6-0A-CXE,5x6-0A-CVN,5x6-0A-CLE
2027-03-14,mon-peak,16,175,75,51,38,27,22,5x6-0B-CHU,5x6-0A-CYL,5x6-0B-AQF,5x6-0A-CUJ,5x6-0A-CFP,5x6-0A-CRD,5x6-0A-CKG
2027-03-21,mon-peak,16,173,75,51,38,27,22,5x6-0B-COT,5x6-0B-AWN,5x6-0B-ANI,5x6-0A-BMK,5x6-0A-CFO,5x6-0A-CNX,5x6-0A-CHH
2027-03-28,mon-peak,16,86,75,51,38,27,22,5x6-0B-CPT,5x6-0B-BOK,5x6-0A-CUW,5x6-0A-AVK,5x6-0A-CCL,5x6-0A-CNH,5x6-0A-CHG
2027-04-04,mon-peak,16,86,75,50,38,27,22,5x6-0B-CSS,5x6-0B-CHH,5x6-0A-CCY,5x6-0A-DUR,5x6-0A-BSM,5x6-0A-CMG,5x6-0A-BTA
2027-04-11,mon-peak,16,169,75,50,38,27,22,5x6-0B-CUQ,5x6-0A-CYK,5x6-0A-AFP,5x6-0A-CXN,5x6-0A-BGB,5x6-0A-CKU,5x6-0A-BRN
2027-04-18,mon-peak,16,82,74,50,38,27,22,5x6-0B-CXL,5x6-0B-BNO,5x6-0A-COP,5x6-0A-CUE,5x6-0A-BBG,5x6-0A-CGM,5x6-0A-BPJ
2027-04-25,mon-peak,16,82,74,50,38,27,22,5x6-0B-CXS,5x6-0B-BOR,5x6-0A-BWL,5x6-0A-CCA,5x6-0A-AJD,5x6-0A-CFK,5x6-0A-BNH
2027-05-02,mon-peak,16,160,74,50,38,27,22,5x6-0B-CYW,5x6-0A-CXL,5x6-0A-AUY,5x6-0A-BTP,5x6-0A-AEK,5x6-0A-CDO,5x6-0A-BMI
2027-05-09,mon-peak,16,80,50,37,27,22,19,5x6-0B-DEF,5x6-0B-BJP,5x6-0A-BAY,5x6-0B-BNV,5x6-0A-CDI,5x6-0A-BHB,5x6-0B-BIZ
2027-05-16,mon-peak,16,80,73,50,27,22,19,5x6-0B-DFO,5x6-0B-BPE,5x6-0A-CML,5x6-0A-AWM,5x6-0A-BXY,5x6-0A-BFL,5x6-0B-BKK
2027-05-23,mon-peak,16,158,73,50,27,22,19,5x6-0B-BHP,5x6-0A-CUH,5x6-0A-BZX,5x6-0A-ASN,5x6-0A-BVF,5x6-0A-AZJ,5x6-0B-BLI
2027-05-30,mon-peak,16,79,73,27,25,22,19,5x6-0B-BIC,5x6-0B-CGZ,5x6-0A-BZI,5x6-0A-BDH,5x6-0B-BHX,5x6-0A-ATT,5x6-0B-BWX
2027-06-06,mon-peak,16,157,72,31,27,25,22,5x6-0B-BKH,5x6-0A-CRC,5x6-0A-CQD,5x6-0A-APD,5x6-0A-BAI,5x6-0B-CAX,5x6-0A-ARS
2027-06-13,mon-peak,19,156,72,31,27,25,22,5x6-0B-BXJ,5x6-0A-CQJ,5x6-0A-AEL,5x6-0A-AFG,5x6-0A-AZS,5x6-0B-CCK,5x6-0A-ARD
2027-06-20,mon-peak,19,78,72,31,27,25,22,5x6-0B-CBU,5x6-0B-CSH,5x6-0B-AWV,5x6-0B-AQJ,5x6-0A-AYJ,5x6-0B-CNA,5x6-0A-AMQ
2027-06-27,mon-peak,19,155,72,49,31,27,22,5x6-0B-CDN,5x6-0A-CVH,5x6-0A-CTZ,5x6-0A-CXU,5x6-0A-DKB,5x6-0A-APH,5x6-0A-ALL
2027-07-04,mon-peak,19,155,49,36,31,27,22,5x6-0B-CGT,5x6-0A-CUV,5x6-0A-CTY,5x6-0B-CUG,5x6-0A-DHX,5x6-0A-AJC,5x6-0A-AKU
2027-07-11,mon-peak,19,153,49,36,31,27,22,5x6-0B-CKM,5x6-0A-CQH,5x6-0A-CTT,5x6-0B-CXA,5x6-0A-CZE,5x6-0A-AIY,5x6-0B-BDF
2027-07-18,mon-peak,19,76,71,49,31,26,22,5x6-0B-CLK,5x6-0B-BOB,5x6-0B-AVF,5x6-0A-CPH,5x6-0A-CTF,5x6-0A-CLI,5x6-0B-BDD
2027-07-25,mon-peak,19,76,70,49,31,26,22,5x6-0B-CMH,5x6-0B-CYC,5x6-0B-AXI,5x6-0A-BML,5x6-0A-CQU,5x6-0A-CIW,5x6-0B-BAO
2027-08-01,mon-peak,19,75,70,49,31,26,22,5x6-0B-CMM,5x6-0B-BTU,5x6-0A-CWV,5x6-0A-AWQ,5x6-0A-CQS,5x6-0A-CHN,5x6-0B-AYP
2027-08-08,mon-peak,19,74,70,49,31,26,22,5x6-0B-CMS,5x6-0B-BIY,5x6-0A-CTD,5x6-0A-AWA,5x6-0A-CPD,5x6-0A-CCP,5x6-0B-AXM
2027-08-15,mon-peak,19,74,70,48,31,26,22,5x6-0B-CNI,5x6-0B-CHJ,5x6-0A-CDS,5x6-0A-CWO,5x6-0A-COG,5x6-0A-CCD,5x6-0B-ATY
2027-08-22,mon-peak,19,147,70,48,31,26,22,5x6-0B-CPH,5x6-0A-COY,5x6-0A-AIX,5x6-0A-CWK,5x6-0A-CNP,5x6-0A-BZG,5x6-0B-APR
2027-08-29,mon-peak,19,144,48,35,31,26,22,5x6-0B-CVI,5x6-0B-AQH,5x6-0A-CHV,5x6-0B-BHC,5x6-0A-CLR,5x6-0A-BZA,5x6-0A-DWX
2027-09-05,mon-peak,19,144,48,35,31,26,22,5x6-0B-CVK,5x6-0A-CXM,5x6-0A-AQU,5x6-0B-BWK,5x6-0A-BYO,5x6-0A-BYB,5x6-0A-DWD
2027-09-12,mon-peak,19,143,48,38,35,31,26,5x6-0B-DAQ,5x6-0A-CUU,5x6-0A-AEH,5x6-0B-DBN,5x6-0B-CKG,5x6-0A-BWU,5x6-0A-BWS
2027-09-19,mon-peak,22,142,69,31,26,24,22,5x6-0A-DRF,5x6-0A-CON,5x6-0A-CBM,5x6-0A-BVQ,5x6-0A-BVO,5x6-0B-BIW,5x6-0A-DQL
2027-09-26,mon-peak,19,71,68,37,31,26,24,5x6-0B-DGX,5x6-0B-BNI,5x6-0A-CSW,5x6-0A-AOO,5x6-0A-BMY,5x6-0A-BME,5x6-0B-BNK
2027-10-03,mon-peak,22,140,68,37,31,26,24,5x6-0A-DKL,5x6-0A-CUL,5x6-0A-CDL,5x6-0A-ALO,5x6-0A-BLS,5x6-0A-BLZ,5x6-0B-CAF
2027-10-10,mon-peak,22,140,68,37,31,26,24,5x6-0A-DHW,5x6-0A-BYE,5x6-0A-AHD,5x6-0A-AJL,5x6-0A-BDB,5x6-0A-BAZ,5x6-0B-CAJ
2027-10-17,mon-peak,11,70,37,34,31,26,24,5x6-0B-BJL,5x6-0B-CBP,5x6-0A-AHK,5x6-0B-BJK,5x6-0A-AYV,5x6-0A-BAW,5x6-0B-CGK
2027-10-24,mon-peak,11,70,37,34,31,26,24,5x6-0B-BPP,5x6-0B-CYV,5x6-0B-BAX,5x6-0B-CBD,5x6-0A-AYP,5x6-0A-BAE,5x6-0B-CIN
2027-10-31,mon-peak,11,138,37,34,31,26,24,5x6-0B-BQA,5x6-0A-CRA,5x6-0A-DXC,5x6-0B-CBM,5x6-0A-AVX,5x6-0A-AYR,5x6-0B-CJA
2027-11-07,mon-peak,11,69,37,34,30,26,24,5x6-0B-BRS,5x6-0B-BTY,5x6-0A-DHV,5x6-0B-CTO,5x6-0C-AAA,5x6-0A-AWB,5x6-0B-CSP
2027-11-14,mon-peak,11,137,37,34,30,26,24,5x6-0B-BWO,5x6-0A-CYH,5x6-0A-CQT,5x6-0B-DFE,5x6-0A-DXD,5x6-0A-AUT,5x6-0B-CTI
2027-11-21,mon-peak,11,68,37,34,30,26,24,5x6-0B-CCG,5x6-0B-BUG,5x6-0A-CGE,5x6-0B-DHJ,5x6-0A-DMI,5x6-0A-AMI,5x6-0B-CYB
2027-11-28,mon-peak,11,135,67,37,30,26,24,5x6-0B-CCZ,5x6-0B-APH,5x6-0B-ASG,5x6-0A-BCX,5x6-0A-DKY,5x6-0A-ALQ,5x6-0B-CYJ
2027-12-05,mon-peak,11,67,67,47,37,30,26,5x6-0B-CGR,5x6-0B-APO,5x6-0B-BJM,5x6-0A-CAT,5x6-0A-AZX,5x6-0A-DID,5x6-0A-AEM
2027-12-12,mon-peak,11,67,67,47,37,30,26,5x6-0B-CLJ,5x6-0A-CPX,5x6-0B-BNP,5x6-0A-BMW,5x6-0A-AZW,5x6-0A-DEG,5x6-0A-AEE
2027-12-19,mon-peak,22,67,66,47,37,30,26,5x6-0B-CMO,5x6-0B-CTG,5x6-0A-DXB,5x6-0A-AZE,5x6-0A-AWL,5x6-0A-CYW,5x6-0B-AXE
2027-12-26,mon-peak,11,133,66,47,37,30,26,5x6-0B-CMY,5x6-0B-BBM,5x6-0A-CYJ,5x6-0A-AWU,5x6-0A-ATV,5x6-0A-CVV,5x6-0B-APS
2028-01-02,mon-peak,11,132,66,47,36,30,26,5x6-0B-CPJ,5x6-0A-CVG,5x6-0A-CVS,5x6-0A-ASC,5x6-0B-BBG,5x6-0A-CTP,5x6-0B-AAQ
2028-01-09,mon-peak,21,132,66,47,36,30,26,5x6-0B-BDT,5x6-0A-CRF,5x6-0A-BZD,5x6-0A-AHR,5x6-0B-AWO,5x6-0A-CLC,5x6-0A-EAX
2028-01-16,mon-peak,21,132,66,47,36,30,26,5x6-0B-BCD,5x6-0A-CBX,5x6-0A-AVF,5x6-0A-AGZ,5x6-0A-DWH,5x6-0A-CHS,5x6-0A-DMB
2028-01-23,mon-peak,21,66,66,47,36,30,26,5x6-0B-AWY,5x6-0A-AVE,5x6-0B-BHG,5x6-0A-AFE,5x6-0A-CVR,5x6-0A-CCN,5x6-0A-CXD
2028-01-30,mon-peak,21,66,47,36,33,30,26,5x6-0B-ATS,5x6-0B-BOQ,5x6-0B-ANM,5x6-0A-CMA,5x6-0B-CBL,5x6-0A-BWV,5x6-0A-CSL
2028-02-06,mon-peak,21,66,47,36,33,30,26,5x6-0B-ANQ,5x6-0B-BTJ,5x6-0A-COC,5x6-0A-CKK,5x6-0B-CIJ,5x6-0A-BWI,5x6-0A-CPJ
2028-02-13,mon-peak,21,128,65,46,36,30,21,5x6-0B-ANL,5x6-0A-CYE,5x6-0A-CWX,5x6-0B-BCV,5x6-0A-CIO,5x6-0A-BUS,5x6-0A-EBF
2028-02-20,mon-peak,13,65,64,46,36,30,21,5x6-0B-BLB,5x6-0A-CBP,5x6-0B-BGW,5x6-0B-BBU,5x6-0A-CDT,5x6-0A-BUA,5x6-0A-DZW
2028-02-27,mon-peak,13,65,64,46,36,30,21,5x6-0B-BPA,5x6-0A-BZZ,5x6-0B-CBO,5x6-0B-AXO,5x6-0A-CCW,5x6-0A-BDM,5x6-0A-DWQ
2028-03-05,mon-peak,13,65,64,46,36,30,21,5x6-0B-BQK,5x6-0A-AUA,5x6-0B-CHR,5x6-0A-CUF,5x6-0A-BXZ,5x6-0A-AZC,5x6-0A-DUI
2028-03-12,mon-peak,13,64,64,46,36,30,21,5x6-0B-BUD,5x6-0A-DIB,5x6-0B-DBU,5x6-0A-CLG,5x6-0A-BLU,5x6-0A-AWI,5x6-0A-DQB
2028-03-19,mon-peak,13,127,64,46,36,30,21,5x6-0B-CIO,5x6-0A-AVI,5x6-0A-CIL,5x6-0A-BTI,5x6-0A-BIU,5x6-0A-AUX,5x6-0A-DKV
2028-03-26,mon-peak,13,125,64,36,30,23,21,5x6-0B-CRC,5x6-0A-CUG,5x6-0A-BXF,5x6-0A-ATS,5x6-0A-ASL,5x6-0B-BKR,5x6-0A-DIU
2028-04-02,mon-peak,13,64,62,36,30,23,21,5x6-0B-CSN,5x6-0A-AXA,5x6-0B-BTP,5x6-0A-AIP,5x6-0A-AQV,5x6-0B-CAO,5x6-0A-DER
2028-04-09,mon-peak,13,62,32,30,25,23,21,5x6-0B-CVT,5x6-0B-BZK,5x6-0B-BOE,5x6-0A-AOQ,5x6-0A-EBI,5x6-0B-CGQ,5x6-0A-DCY
2028-04-16,mon-peak,18,62,32,30,25,23,21,5x6-0B-BIP,5x6-0B-CHD,5x6-0B-BTD,5x6-0A-AOH,5x6-0A-DGJ,5x6-0B-CHE,5x6-0A-CYU
2028-04-23,mon-peak,18,123,32,30,25,23,21,5x6-0B-BKQ,5x6-0B-BBP,5x6-0B-BTN,5x6-0A-AMO,5x6-0A-DCN,5x6-0B-CHY,5x6-0A-CVZ
2028-04-30,mon-peak,18,61,32,30,25,23,21,5x6-0B-BTM,5x6-0B-BII,5x6-0B-CBY,5x6-0A-AHA,5x6-0A-CPF,5x6-0B-CSZ,5x6-0A-CVC
2028-05-07,mon-peak,18,120,45,32,25,21,18,5x6-0B-BZF,5x6-0A-CVA,5x6-0B-BBX,5x6-0B-CII,5x6-0A-CMW,5x6-0A-CSK,5x6-0B-BZI
2028-05-14,mon-peak,15,60,45,32,25,21,18,5x6-0B-BFR,5x6-0B-CBS,5x6-0A-CUD,5x6-0B-CIX,5x6-0A-CKL,5x6-0A-CLX,5x6-0B-CAC
2028-05-21,mon-peak,15,60,45,32,25,21,18,5x6-0B-BGS,5x6-0B-CIE,5x6-0A-CQX,5x6-0B-CMG,5x6-0A-CKB,5x6-0A-CLT,5x6-0B-CCV
2028-05-28,mon-peak,15,118,45,32,25,21,18,5x6-0B-BGZ,5x6-0A-COW,5x6-0A-CLJ,5x6-0B-CTF,5x6-0A-CIQ,5x6-0A-CHI,5x6-0B-CDT
2028-06-04,mon-peak,15,117,63,45,25,21,18,5x6-0B-BHQ,5x6-0B-ANA,5x6-0B-BBK,5x6-0A-CDH,5x6-0A-CIG,5x6-0A-CEA,5x6-0B-CES
2028-06-11,mon-peak,15,117,63,45,25,21,18,5x6-0B-BJC,5x6-0A-CYR,5x6-0A-CQK,5x6-0A-BZC,5x6-0A-CCO,5x6-0A-CDJ,5x6-0B-CMJ
2028-06-18,mon-peak,15,63,58,45,25,21,18,5x6-0B-BJS,5x6-0A-BBF,5x6-0B-BPC,5x6-0A-BTH,5x6-0A-CBG,5x6-0A-CDG,5x6-0B-CPS
2028-06-25,mon-peak,15,63,58,45,25,21,18,5x6-0B-BKN,5x6-0A-AWP,5x6-0B-CUA,5x6-0A-BRR,5x6-0A-BRS,5x6-0A-CAQ,5x6-0B-CSF
2028-07-02,mon-peak,15,63,58,45,25,21,18,5x6-0B-BKS,5x6-0A-AHF,5x6-0B-CYK,5x6-0A-BFY,5x6-0A-BRE,5x6-0A-BJS,5x6-0B-CTM
2028-07-09,mon-peak,15,115,62,45,25,21,18,5x6-0B-BLF,5x6-0A-BZQ,5x6-0A-CYM,5x6-0A-BCR,5x6-0A-BIB,5x6-0A-BGX,5x6-0B-CUM
2028-07-16,mon-peak,15,114,62,45,25,21,18,5x6-0B-BLU,5x6-0A-CXT,5x6-0A-BXE,5x6-0A-BAO,5x6-0A-BAT,5x6-0A-BDG,5x6-0B-DEV
2028-07-23,mon-peak,15,114,45,35,31,25,21,5x6-0B-BOC,5x6-0A-CQW,5x6-0A-AVM,5x6-0B-ASD,5x6-0B-BKB,5x6-0A-AXW,5x6-0A-BCH
2028-07-30,mon-peak,15,57,45,35,31,25,21,5x6-0B-BQU,5x6-0B-BIE,5x6-0A-ASO,5x6-0A-DWE,5x6-0B-BTA,5x6-0A-AUL,5x6-0A-BAH
2028-08-06,mon-peak,15,113,44,35,31,25,21,5x6-0B-CAD,5x6-0A-BZY,5x6-0B-AYK,5x6-0A-DKC,5x6-0B-CGL,5x6-0A-AQW,5x6-0A-AYZ
2028-08-13,mon-peak,15,111,44,35,31,25,21,5x6-0B-CAK,5x6-0A-CXG,5x6-0A-CIA,5x6-0A-DIX,5x6-0B-CJC,5x6-0A-AGK,5x6-0A-AYO
2028-08-20,mon-peak,15,111,44,35,31,24,21,5x6-0B-CAR,5x6-0A-CXF,5x6-0A-CFU,5x6-0A-DDC,5x6-0B-CRU,5x6-0B-BDZ,5x6-0A-AVW
2028-08-27,mon-peak,15,109,61,44,35,24,21,5x6-0B-CBI,5x6-0B-APP,5x6-0B-AQR,5x6-0A-BAX,5x6-0A-DDA,5x6-0B-BBZ,5x6-0A-ATU
2028-09-03,mon-peak,15,108,61,44,35,24,21,5x6-0B-CHA,5x6-0A-BZR,5x6-0A-DIV,5x6-0A-AZB,5x6-0A-CYX,5x6-0B-BBB,5x6-0A-AQO
2028-09-10,mon-peak,15,61,54,44,35,24,21,5x6-0B-CKB,5x6-0A-CYA,5x6-0B-CBB,5x6-0A-AFT,5x6-0A-CSU,5x6-0B-AVX,5x6-0A-AIQ
2028-09-17,mon-peak,15,107,61,44,35,24,21,5x6-0B-CMI,5x6-0A-CQV,5x6-0A-CXZ,5x6-0A-AFH,5x6-0A-CRQ,5x6-0B-ARI,5x6-0A-AHC
2028-09-24,mon-peak,15,106,61,35,29,24,22,5x6-0B-CNM,5x6-0A-CXK,5x6-0A-CDF,5x6-0A-CQZ,5x6-0B-AQS,5x6-0A-DYV,5x6-0B-BIL
2028-10-01,mon-peak,21,106,61,35,29,24,22,5x6-0A-AFD,5x6-0A-CQL,5x6-0A-AGN,5x6-0A-COL,5x6-0A-DSQ,5x6-0A-DMD,5x6-0B-BPQ
2028-10-08,mon-peak,20,106,61,35,29,24,22,5x6-0B-BDK,5x6-0A-COH,5x6-0A-AGM,5x6-0A-CMJ,5x6-0A-DQN,5x6-0A-DKR,5x6-0B-BYU
2028-10-15,mon-peak,20,105,60,35,29,24,22,5x6-0B-BCP,5x6-0A-BYJ,5x6-0B-BCN,5x6-0A-CLF,5x6-0A-DOQ,5x6-0A-DIA,5x6-0B-CAT
2028-10-22,mon-peak,20,105,60,35,29,24,22,5x6-0B-AYY,5x6-0A-AVH,5x6-0A-CXI,5x6-0A-CIS,5x6-0A-DDB,5x6-0A-DCL,5x6-0B-CCE
2028-10-29,mon-peak,20,104,60,35,29,24,22,5x6-0B-AYV,5x6-0A-AHS,5x6-0A-CWZ,5x6-0A-CGC,5x6-0A-DCJ,5x6-0A-DBH,5x6-0B-CEG
2028-11-05,mon-peak,20,60,52,35,29,24,22,5x6-0B-AYR,5x6-0A-CQP,5x6-0B-BUO,5x6-0A-CBW,5x6-0A-CWT,5x6-0A-CXB,5x6-0B-CNS
2028-11-12,mon-peak,20,60,52,35,29,24,22,5x6-0B-AXA,5x6-0A-CNJ,5x6-0B-BZL,5x6-0A-BLM,5x6-0A-CNG,5x6-0A-CVI,5x6-0B-CSW
2028-11-19,mon-peak,20,60,52,35,29,24,22,5x6-0B-AVI,5x6-0A-CMQ,5x6-0B-CIA,5x6-0A-BAG,5x6-0A-CBE,5x6-0A-CSI,5x6-0B-DHP
2028-11-26,mon-peak,20,103,60,43,35,29,24,5x6-0B-ARC,5x6-0A-CDR,5x6-0A-BTZ,5x6-0B-ANZ,5x6-0A-AWR,5x6-0A-BWK,5x6-0A-CPV
2028-12-03,mon-peak,20,102,60,43,35,29,24,5x6-0B-ANX,5x6-0A-CXQ,5x6-0A-BAJ,5x6-0A-DQM,5x6-0A-AIV,5x6-0A-BLV,5x6-0A-CNM
2028-12-10,mon-peak,20,101,43,34,30,29,24,5x6-0B-ANG,5x6-0A-CCX,5x6-0A-CQF,5x6-0B-ARH,5x6-0B-BHM,5x6-0A-BAP,5x6-0A-CNI
2028-12-17,mon-peak,20,101,43,34,30,29,24,5x6-0A-DZP,5x6-0A-ATY,5x6-0A-CPY,5x6-0B-AOR,5x6-0B-BHU,5x6-0A-AZD,5x6-0A-CNE
2028-12-24,mon-peak,20,100,43,34,30,28,24,5x6-0A-DYX,5x6-0A-CUM,5x6-0A-COM,5x6-0A-DWA,5x6-0B-BTE,5x6-0B-AXC,5x6-0A-CMK
